iv,T,f_resp,ap_mean,pop_at_end,pop_cv,MSE_fresp_mean,MSE_fresp_cv
0.84375,279.96875,0.530625,0.0,0.0,0.8888946734968426,0.011800451905997574,0.03087236714562308
0.15625,315.03125,0.530625,0.0,0.0,1.451874667807249,0.014835019194194846,0.00846763125354614
0.15625,279.96875,0.653125,76.0000000000093,5.0,0.3816998965847712,0.013049218067385187,0.017500881409520823
0.84375,315.03125,0.653125,29.984953703698903,44.0,0.5412737459578385,0.004160014217856842,0.03006912202307944
0.65625,305.46875,0.040625,0.0,0.0,0.0,0.0,0.0
0.34375,305.46875,0.040625,0.0,0.0,0.0,0.0,0.0
0.65625,289.53125,0.040625,0.0,0.0,10.0,4.589445855066382e-06,0.04073052785520493
0.65625,305.46875,0.16312500000000002,0.0,0.0,2.056523751583823,0.001915740906563132,0.0240687700889327
0.34375,289.53125,0.16312500000000002,0.0,0.0,2.147349787787521,0.0010232555252893873,0.005384678871640542
0.90625,292.71875,0.775625,9.612847222221896,23.0,1.2075736936860193,0.0029714086782082674,0.011593883989578963
0.59375,292.71875,0.775625,11.49652777777712,0.0,1.7767962050288657,0.005051651083252821,0.008329253896385592
0.90625,276.78125,0.775625,30.952690972217198,123.0,0.9127248309290324,0.009040117066316068,0.0318669271071611
0.90625,292.71875,0.408125,0.0,0.0,1.7038370966083582,0.009758919043384192,0.011366392026430765
0.59375,276.78125,0.408125,0.0,0.0,0.8670317179896017,0.011397400984695766,0.015976651304635544
0.40625,318.21875,0.285625,0.0,0.0,1.6699656701543562,0.002579193860945527,0.017544497256050517
0.09375,318.21875,0.285625,0.0,0.0,1.9926853801685505,0.0025787822153041976,0.00026233812239504964
0.40625,302.28125,0.285625,0.0,0.0,1.7391739125000136,0.003972782945003025,0.013597954953483904
0.40625,318.21875,0.898125,24.936832264953612,0.0,1.5998807043106256,0.004758773973741966,0.010704262611787264
0.09375,302.28125,0.898125,0.0,0.0,4.810221568326483,0.001834117046023215,0.031243231928817165
0.28125,286.34375,0.16312500000000002,0.0,0.0,2.4223955085823614,0.0005928373699615475,0.0021428361709119504
