iv,T,f_resp,ap_mean,pop_at_end,pop_cv,MSE_fresp_mean,MSE_fresp_cv
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011262615151482466,4.699286945108836e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011262615151482466,4.699286945108836e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011262615151482466,4.699286945108836e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011262615151482466,4.699286945108836e-06
0.0,272.0,0.01,0.0,0.0,3.9791121287711055,0.00011262615151482466,4.699286945108836e-06
0.5,297.5,0.5,0.0,0.0,1.6732999329470308,0.028100307596908305,0.020433965236505792
0.5,297.5,0.5,0.0,0.0,1.6732999329470308,0.028100307596908305,0.020433965236505792
0.5,297.5,0.5,0.0,0.0,1.6732999329470308,0.028100307596908305,0.020433965236505792
0.5,297.5,0.5,0.0,0.0,1.6732999329470308,0.028100307596908305,0.020433965236505792
0.5,297.5,0.5,0.0,0.0,1.6732999329470308,0.028100307596908305,0.020433965236505792
0.75,284.75,0.255,0.0,0.0,1.6067908817323264,0.008644363607344137,0.022692359884898983
0.25,284.75,0.255,0.0,0.0,1.8654028763665131,0.016203107949533505,0.00048632584733671085
0.75,310.25,0.255,0.0,0.0,1.6442181078516482,0.004928056695909585,0.035121783204003804
0.75,284.75,0.745,29.268518518513876,58.0,1.1784810449295027,0.0029749389838000418,0.022993033019544553
0.25,310.25,0.745,28.45624999999552,12.0,0.45944281642909235,0.029253615770385828,0.06626194874389099
0.25,310.25,0.745,28.45624999999552,12.0,0.45944281642909235,0.029253615770385828,0.06626194874389099
0.75,310.25,0.745,18.155815972220108,16.0,0.3505084978683052,0.01830382598128337,0.055597887577582945
0.25,284.75,0.745,29.440538194439767,37.0,0.6791151774116713,0.012019303599368576,0.02605632114102094
0.25,310.25,0.255,0.0,0.0,1.8789459487298954,0.009477011782424754,0.0109214016070097
0.75,284.75,0.255,0.0,0.0,1.6067908817323264,0.008644363607344137,0.022692359884898983
0.375,291.125,0.6225,0.0,0.0,1.1877744580791871,0.027867083806546223,0.02463628015070186
0.875,291.125,0.6225,0.0,0.0,1.4170116964168953,0.028101840530078786,0.029967955026086762
0.375,291.125,0.6225,0.0,0.0,1.1877744580791871,0.027867083806546223,0.02463628015070186
0.375,291.125,0.1325,0.0,0.0,6.44749935508987,0.004205109110342852,0.031574420119116355
